,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE
359,1,08:35,54.700,55.350,11-01-2021
360,1,08:30,55.750,56.350,12-01-2021
361,1,08:45,56.100,56.700,13-01-2021
362,1,09:05,55.900,56.500,14-01-2021
363,1,08:25,56.000,56.550,15-01-2021
364,1,08:35,55.800,56.400,16-01-2021
365,,,,,17-01-2021
366,1,08:25,55.750,56.300,18-01-2021
367,1,08:35,55.900,56.450,19-01-2021
368,1,09:35,55.850,56.400,20-01-2021
369,1,08:30,56.250,56.800,21-01-2021
370,1,10:05,55.950,56.500,22-01-2021
371,1,08:35,55.850,56.400,23-01-2021
372,,,,,24-01-2021
373,1,08:30,55.950,56.500,25-01-2021
374,1,08:25,56.050,56.550,26-01-2021
375,1,08:35,56.050,56.550,27-01-2021
376,1,08:35,56.050,56.550,28-01-2021
377,1,09:55,56.150,56.650,29-01-2021
378,1,08:35,56.200,56.700,30-01-2021
379,,,,,31-01-2021
380,1,08:40,56.300,56.800,01-02-2021
381,1,10:15,56.550,57.050,02-02-2021
382,1,09:35,56.300,56.800,03-02-2021
383,1,08:50,56.300,56.800,04-02-2021
384,1,09:45,56.100,56.650,05-02-2021
385,1,08:45,56.350,56.900,06-02-2021
386,,,,,07-02-2021
387,1,08:25,56.350,56.900,08-02-2021
388,1,08:35,56.750,57.300,09-02-2021
389,,,,,10-02-2021
390,,,,,11-02-2021
391,,,,,12-02-2021
392,,,,,13-02-2021
393,,,,,14-02-2021
394,,,,,15-02-2021
395,,,,,16-02-2021
396,1,08:40,56.450,57.000,17-02-2021
397,1,09:00,56.350,56.850,18-02-2021
398,1,08:35,55.700,56.250,19-02-2021
399,1,08:30,55.750,56.400,20-02-2021
400,1,06:55,55.650,56.350,21-02-2021
401,1,13:15,55.550,56.050,22-02-2021
402,1,09:05,56.050,56.550,23-02-2021
403,1,08:35,56.050,56.550,24-02-2021
404,1,13:20,56.050,56.500,25-02-2021
405,1,08:40,55.900,56.300,26-02-2021
406,1,07:35,55.950,56.350,27-02-2021
407,,,,,28-02-2021
408,1,08:35,55.950,56.350,01-03-2021
409,1,08:45,55.600,56.000,02-03-2021
410,1,13:15,55.750,56.150,03-03-2021
411,1,08:45,55.500,55.900,04-03-2021
412,1,10:15,55.450,55.850,05-03-2021
413,1,08:30,55.100,55.600,06-03-2021
414,,,,,07-03-2021
415,1,08:40,55.250,55.650,08-03-2021
416,1,08:35,54.870,55.300,09-03-2021
417,1,08:30,55.000,55.400,10-03-2021
418,1,08:40,55.100,55.500,11-03-2021
419,1,08:35,55.350,55.750,12-03-2021
420,1,08:35,55.350,55.850,13-03-2021
421,,,,,14-03-2021
422,1,08:55,55.450,55.850,15-03-2021
423,1,08:45,55.350,55.750,16-03-2021
424,1,08:35,55.220,55.620,17-03-2021
425,1,08:50,55.400,55.800,18-03-2021
426,1,08:25,55.000,55.400,19-03-2021
427,1,08:30,55.100,55.600,20-03-2021
428,,,,,21-03-2021
429,1,08:30,55.150,55.550,22-03-2021
430,1,09:20,55.150,55.550,23-03-2021
431,1,09:25,55.100,55.500,24-03-2021
432,1,09:05,55.100,55.500,25-03-2021
433,1,08:35,54.950,55.350,26-03-2021
434,1,08:35,54.900,55.400,27-03-2021
435,,,,,28-03-2021
436,1,08:35,54.850,55.250,29-03-2021
437,1,08:25,54.650,55.050,30-03-2021
438,1,08:30,54.250,54.650,31-03-2021
439,1,08:55,54.300,54.700,01-04-2021
440,1,08:50,54.700,55.100,02-04-2021
441,1,08:30,54.900,55.400,03-04-2021
442,,,,,04-04-2021
443,1,08:30,54.920,55.420,05-04-2021
444,1,08:30,54.800,55.200,06-04-2021
445,1,09:15,54.950,55.350,07-04-2021
446,1,08:55,54.730,55.130,08-04-2021
447,1,08:35,55.030,55.430,09-04-2021
448,1,08:35,54.800,55.250,10-04-2021
449,,,,,11-04-2021
450,1,08:35,54.750,55.150,12-04-2021
451,1,08:55,54.780,55.180,13-04-2021
452,1,08:40,54.970,55.370,14-04-2021
453,1,08:35,54.850,55.250,15-04-2021
454,1,08:45,55.100,55.480,16-04-2021
455,,,,,17-04-2021
456,,,,,18-04-2021
457,,,,,19-04-2021
458,,,,,20-04-2021
459,,,,,21-04-2021
460,,,,,22-04-2021
461,1,11:10,55.450,55.800,23-04-2021
462,1,08:35,55.150,55.650,24-04-2021
463,,,,,25-04-2021
464,1,08:40,55.200,55.550,26-04-2021
465,1,08:35,55.150,55.500,27-04-2021
466,1,08:35,55.220,55.570,28-04-2021
467,1,08:25,55.450,55.800,29-04-2021
468,,,,,30-04-2021
469,,,,,01-05-2021
470,,,,,02-05-2021
471,1,08:50,55.320,55.670,03-05-2021
472,1,08:55,55.470,55.820,04-05-2021
473,1,08:30,55.300,55.650,05-05-2021
474,1,08:35,55.380,55.730,06-05-2021
475,1,08:35,55.550,55.900,07-05-2021
476,1,08:35,55.650,56.100,08-05-2021
477,,,,,09-05-2021
478,1,08:30,55.830,56.230,10-05-2021
479,1,08:45,55.950,56.300,11-05-2021
480,1,09:00,55.800,56.150,12-05-2021
481,1,08:35,55.670,56.020,13-05-2021
482,1,08:35,55.770,56.120,14-05-2021
483,1,08:35,56.600,57.300,01-06-2021
484,1,09:05,56.850,57.450,02-06-2021
485,1,08:35,57.050,57.650,03-06-2021
486,1,08:35,56.350,57.000,04-06-2021
487,1,08:35,56.600,57.250,05-06-2021
488,,,,,06-06-2021
489,1,08:35,56.750,57.350,07-06-2021
490,1,08:30,56.900,57.500,08-06-2021
491,1,09:00,56.650,57.250,09-06-2021
492,1,08:30,56.550,57.150,10-06-2021
493,1,08:35,56.950,57.550,11-06-2021
494,1,08:35,56.700,57.300,12-06-2021
495,,,,,13-06-2021
496,1,08:45,56.600,57.200,14-06-2021
497,1,13:50,56.550,57.150,15-06-2021
498,1,08:50,56.500,57.100,16-06-2021
499,1,08:40,56.400,57.000,17-06-2021
500,1,13:20,56.150,56.750,18-06-2021
501,1,09:55,56.150,56.750,19-06-2021
502,,,,,20-06-2021
503,1,08:40,56.200,56.800,21-06-2021
504,1,13:15,56.500,57.100,22-06-2021
505,1,13:15,56.550,57.100,23-06-2021
506,1,09:00,56.500,57.050,24-06-2021
507,1,09:45,56.450,57.000,25-06-2021
508,1,08:35,56.500,57.100,26-06-2021
509,,,,,27-06-2021
510,1,09:00,56.550,57.050,28-06-2021
511,1,09:25,56.450,56.950,29-06-2021
512,1,10:40,56.250,56.850,30-06-2021
513,1,08:35,56.300,56.900,01-07-2021
514,1,08:30,56.350,56.950,02-07-2021
515,1,08:30,56.600,57.200,03-07-2021
516,,,,,04-07-2021
517,1,10:50,56.650,57.250,05-07-2021
518,1,09:10,56.750,57.350,06-07-2021
519,1,09:15,56.800,57.400,07-07-2021
520,1,14:25,56.850,57.450,08-07-2021
521,1,09:20,56.900,57.600,09-07-2021
522,1,08:35,56.750,57.500,10-07-2021
523,,,,,11-07-2021
524,1,08:55,56.750,57.500,12-07-2021
525,1,08:45,56.600,57.350,13-07-2021
526,1,08:30,56.650,57.400,14-07-2021
527,1,08:35,56.850,57.600,15-07-2021
528,1,08:35,56.750,57.500,16-07-2021
529,1,08:50,56.750,57.500,17-07-2021
530,,,,,18-07-2021
531,1,08:25,56.900,57.550,19-07-2021
532,1,08:40,56.900,57.550,20-07-2021
533,1,08:40,56.800,57.450,21-07-2021
534,1,08:40,56.800,57.450,22-07-2021
535,1,08:35,56.850,57.500,23-07-2021
536,1,08:35,56.850,57.500,24-07-2021
537,,,,,25-07-2021
538,1,08:25,56.800,57.450,26-07-2021
539,1,08:20,56.600,57.300,27-07-2021
540,1,08:20,56.500,57.200,28-07-2021
541,1,08:25,56.650,57.350,29-07-2021
542,1,08:30,56.700,57.400,30-07-2021
543,1,08:25,56.550,57.200,31-07-2021
544,,,,,01-08-2021
545,1,08:35,56.500,57.200,02-08-2021
546,1,10:30,56.600,57.300,03-08-2021
547,1,08:35,56.650,57.350,04-08-2021
